iter	Accuracy	Logloss
278	0.91025	0.2329296663
279	0.910125	0.2324232791
280	0.910375	0.2322337901
281	0.9105	0.2317781627
282	0.910375	0.2315593636
283	0.9105	0.2312669435
284	0.910625	0.2309730551
285	0.910625	0.2307609417
286	0.91125	0.2303602818
287	0.91125	0.2299208556
288	0.91125	0.229645507
289	0.911625	0.2291931288
290	0.911875	0.2288835313
291	0.91175	0.2285755274
292	0.91225	0.2283707757
293	0.912125	0.2281179053
294	0.9125	0.2278608038
295	0.912875	0.2275059003
296	0.91325	0.2272199707
297	0.913625	0.226973326
298	0.91325	0.2267442142
299	0.91325	0.2265494924
300	0.913625	0.2262250342
301	0.914	0.2259827855
302	0.9135	0.2255665762
303	0.91375	0.2254067029
304	0.914	0.2252299877
305	0.914375	0.224899537
306	0.914375	0.2247055087
307	0.91425	0.2243830462
308	0.914625	0.2239956061
309	0.91525	0.2236529646
310	0.915375	0.2231307691
311	0.915625	0.2227860701
312	0.9155	0.2226024554
313	0.91625	0.2222452228
314	0.916375	0.2218699508
315	0.917	0.2216267684
316	0.917	0.2214905707
317	0.917125	0.2211986414
318	0.917125	0.220939037
319	0.916875	0.2206899254
320	0.916625	0.2203688796
321	0.916625	0.2201348786
322	0.91725	0.2198225937
323	0.917375	0.2195406829
324	0.917875	0.2193401178
325	0.91775	0.2190405279
326	0.917625	0.2186458319
327	0.91775	0.2183745729
328	0.91775	0.2181920874
329	0.918	0.2178934935
330	0.918125	0.2176733379
331	0.917875	0.2173845423
332	0.918	0.2172238359
333	0.91875	0.2168916828
334	0.918875	0.2166732208
335	0.919125	0.2162950758
336	0.9195	0.2161257772
337	0.9195	0.2158887508
338	0.919875	0.2155526584
339	0.920125	0.2152884724
340	0.92	0.2148934654
341	0.919875	0.2146228701
342	0.920375	0.2143624876
343	0.920375	0.2141696754
344	0.920375	0.213847741
345	0.92075	0.2136818885
346	0.921	0.2134276809
347	0.920875	0.2130717415
348	0.920875	0.2129073028
349	0.920875	0.2126223767
350	0.921	0.2123668149
351	0.92075	0.2121084782
352	0.92075	0.211898075
353	0.92125	0.2114189229
354	0.9215	0.2111608625
355	0.921625	0.2109662162
356	0.921625	0.2107638276
357	0.9215	0.2105908323
358	0.9215	0.2104596591
359	0.921625	0.2103068737
